	SKMM2_cDNA_control_1	SKMM2_cDNA_control_2	SKMM2_cDNA_control_3	SKMM2_cDNA_IL6_1	SKMM2_cDNA_IL6_2	SKMM2_cDNA_IL6_3	SKMM2_dRNA_control_1	SKMM2_dRNA_control_2	SKMM2_dRNA_control_3	SKMM2_dRNA_IL6_1	SKMM2_dRNA_IL6_2	SKMM2_dRNA_IL6_3
ENSG00000006116.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118.15	3	0.99999	2	0	3	0	25	26	29	11	3	12
ENSG00000006125.18	17	21	16.00001	19	18	27	139	125	112.99999	125.99999	130	104
ENSG00000006128.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194.11	15	11	28	19	26	19	81	68.99999	102	76	99	78
ENSG00000006210.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006282.22	1.99998	5.00003	5.99998	5.00003	1.99997	0	38	35	31.99999	13.99999	12	20
ENSG00000006283.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006327.14	3	5	2	9	5	11	10	5	8	12	15	15
ENSG00000006377.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006432.16	1	1	0	2	1	3	7	7	6	12	2	4
ENSG00000006451.8	31	48	63	84	144	93	179	164	172	237	231	208
ENSG00000006453.14	1	0	0	0	1	0	2	0	2	1	0	2
ENSG00000006459.11	3	2	4	7	0	0	13	8	11	7	2	1
ENSG00000006468.15	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000006530.18	8.00001	13.99999	11	16	11.00001	19	73.99999	94	76	87	105	86
ENSG00000006534.17	1	3	1	0	1	3	18	27	11	3	6	7
ENSG00000006555.11	0	0	0	0	0	0	0	1	1	1	0	0
ENSG00000006576.17	14	14	11	12	8.99999	8	58	42	40.00001	53.00001	65	30.00001
ENSG00000006606.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006607.14	1	1	4	6	4	1	23	24	17	15	15	21
ENSG00000006611.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006625.18	212.99999	253.00001	250.99999	185	242	226	438.00001	391.00001	442	373	370	284.99999
ENSG00000006634.8	13	12	18	43	29	29	145	167	134.00001	182	197	119
ENSG00000006638.13	0	0	0	0	0	0	2	2	8	0	2	1
ENSG00000006652.15	11	14	24	10	21	3	91.00001	92	84	80	98	81
ENSG00000006659.13	21	27	21	28	18	23	4	1	3	4	4	6
ENSG00000006695.12	18	29	26	19	28	26	40	59	44	36	37	59
ENSG00000006704.11	0	0	0	0	0	0	3.00001	0	1	1	0.99999	1
ENSG00000006712.15	28	33	28	22	39	29	122	146	108	164	177	169
ENSG00000006715.16	15	25	18	23	14	16	85	85	75	101	80	61
ENSG00000006740.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006744.19	13	21	11	23	13	16	84	89	66	89	79	86
ENSG00000006747.15	0	0	0	0	0	0	2	1	0	0	0	0
ENSG00000006756.16	1	4	0	2	0	0	1	0	0	0	1	0
ENSG00000006757.12	85	95	93	42	68	53	61.99999	65	56	47	40	48
ENSG00000006788.14	0	0	3	0	0	0	0	0	0	0	0	0
ENSG00000006831.10	26	12	10	32	20	15	131	138	127	142	101	131
ENSG00000006837.12	29.99998	14	25.99999	38.99999	33	38	2	7	3	3	3	1
ENSG00000007001.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007038.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007047.16	7	2	1.99999	6	5	4	23	16	25	21	24	28
ENSG00000007062.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007080.11	41	46	62	113	112	140	546	463	511	654	649	639
ENSG00000007129.18	1	3	1	5	1	2	13	10	11	7	7	6
ENSG00000007168.15	20.00001	17.00001	19	33.99999	38	20.99999	119	90	103.99999	138	130	127.99999
ENSG00000007171.19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007174.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007202.16	24	29	27	24	36	26	177.99999	206	208	238	188	229
ENSG00000007216.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007237.19	1	0	0	0	0.99999	0	0.99999	0	0	1	0	0
ENSG00000007255.10	183	299	284	187	165	177	301.00001	279.00001	305.00001	169	146	163
ENSG00000007264.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007306.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312.14	101	92	132	76	139.00001	122	134	133	146	158	158.00001	143
ENSG00000007314.12	1	0	0	0	0	0	3	3	2	2	0	1
ENSG00000007341.19	9	24	20	22	16.99999	15	36.00001	32	28.99999	28.99999	27	26
ENSG00000007350.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007372.25	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007376.8	7	13	13	15	22	20	134	114.99999	113	138	141.99999	121
ENSG00000007384.15	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000007392.17	8	14	18	28.00001	35.99999	31	69.00001	63	59	67	82.99999	99.00001
ENSG00000007402.12	4	3	1.99998	1.00002	0	3	3	4	6	4.00002	6	1.99998
ENSG00000007516.15	3	5.00001	2.00001	5.00001	0	0	3.99999	3.99999	1	2.00001	2	0
ENSG00000007520.4	53	38	27	49	58	37	393	373	342	345	375	316
ENSG00000007541.17	0	2	0	1	0	0	45	45	38	29	35	18.99999
ENSG00000007545.16	14	8	10	11	7	5	22	28	24	29	22	18
ENSG00000007866.22	0	0	0	0	0	0	1	1	0	1	0	2
ENSG00000007908.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007923.17	33.99999	17	19	34.99999	29	33	112	87	88	135	139	137
ENSG00000007933.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007944.15	3	0	1	3	1	1	9	8	5	17	25	14
ENSG00000007952.18	11	7	4	3	6	8	7	15	9	7	4	8
ENSG00000007968.7	5	8	14	16	18	15	43	47	43	44	31	47
ENSG00000008018.9	1359	1500	1290	1621	1951	1777	747	722	715	887	924	908
ENSG00000008056.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008083.14	3	6	1	7	4	1	17	16	21	15	9	17
ENSG00000008086.13	2	1	0	1	2	0	5	7	6	4	3	2
ENSG00000008118.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008128.23	20	21	26	12	27	15	49	49	45.00001	60.00001	46	51.00001
ENSG00000008130.15	23	18.00001	14	26.00001	26.00001	18	118	142.99999	126	129	124	127
ENSG00000008196.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008197.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226.20	0	0	0	0	4	0	0.99999	0	1	0	0	1
ENSG00000008256.17	0	2	0	0	0	0	5	2	0	1	1	3
ENSG00000008277.15	8.00001	8	9.99999	8	5.00001	3	34	38	22	16	15	14
ENSG00000008282.10	31	21	20	19	35	25	42	48	43	28	35	17
ENSG00000008283.16	21	21	17.99999	20	10	21	207.99999	200	226	144	146	168
ENSG00000008294.22	10	6	19	20	26	10	88.99999	65	61	70.00001	71	57
ENSG00000008300.17	2	2	1	2	0	2	10	8	9	7	7	5
ENSG00000008311.16	24.99999	10	6	12	7	2	15	12	13	10	10	6
ENSG00000008323.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008324.12	768	695	724	846	930	919	158	162	177	195	186	192
ENSG00000008382.16	32	24	22	16	24	16	137	169.99999	113.99999	108.00001	90	90
ENSG00000008394.13	671	714	675	625.00001	941	573	429	444	456.00001	553	621	407
ENSG00000008405.12	5	7	2	7	4	5	34	50	42	35	50	41
ENSG00000008438.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008441.19	0	0	0	0	0	0	6	2	1	0	1	0
ENSG00000008513.17	11	9	8	7	2	6	28	21	14	9	8	9
ENSG00000008516.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008517.19	5	8	3	9	8.00001	9.99999	2	3	5	5	6	4.99999
ENSG00000008710.20	0	3	2	2	0.99999	0	36	28	27	28	17	31
ENSG00000008735.14	0	0	0	0	1	1	3	1	5	5	9	9
ENSG00000008838.21	24	31	9	38.00001	32	16	120.99999	98	90	129.00001	138	101
ENSG00000008853.18	4	1	3	1	3	0	20	23	13	21	11	15.99999
ENSG00000008869.12	5	3	5	4	4	0	21	27	23	18	19	23
ENSG00000008952.17	98	105	78	146	116	82	365	307	332	345	437	194
ENSG00000008988.11	73163	71161.99999	72602.00001	74521	68992.99999	72190.00001	15576.00002	15816	16603	14123	15724.00002	15344.99999
ENSG00000009307.17	414	369.99999	361.99999	341	442	201.99996	1369.00001	1307.99999	1266	1367.00001	1235.00001	851.99999
ENSG00000009335.19	17	12	9	18	27	7	58	43	59	86	80	72
ENSG00000009413.17	3	3	2	1	4	0	15	18	7	8	7	9
ENSG00000009694.14	4	1	3	8	1	0	13	24	16	16	16	3
ENSG00000009709.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009724.18	0	1.00002	0	0	0	0	1	1	0	0	0	0
ENSG00000009765.15	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009780.16	3	2	4	2	7	2	19	13	7	14	8	14
ENSG00000009790.15	26	22	31	9	10	12	22	23	22	18	10	14
ENSG00000009830.13	2	0	9	1	2	0	15	17	10	15	8	13
ENSG00000009844.16	8	10	6	19	6	0.99999	65	78	66	85	83	63
ENSG00000009950.16	1.00002	0	0	0	0	0	2	0	0	0	0	0
ENSG00000009954.11	14	19	17	40	21	12	135	114	98	132	124	108
ENSG00000010017.13	21	17	25	8	14	7	103	114	117	138	120	120
ENSG00000010030.14	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000010072.16	8	5	3	1	4	5	39	30	25	48	58	29
ENSG00000010165.20	26	22	15	32	24	42	69	59	72	95	92.99999	85.99999
ENSG00000010219.14	147	113	119	141	169	150.99999	60	74	86.00001	89	86	82
ENSG00000010244.19	78	67	52	106	115	84	414.99999	404	417	514	540	464
ENSG00000010256.12	120	141.99999	144	160.99999	151.99999	134	683.99999	633	647.99999	698.00001	681.99999	704.00001
ENSG00000010270.14	6	19	12	10	24	16	92	90	80	82	86.99999	101
ENSG00000010278.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010282.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010292.13	79	92	55	87	88	100	339	350	333	389	361	341
ENSG00000010295.20	4	13	2	8	12	7	41	20.00001	36	26	30.00001	12
ENSG00000010310.9	0	1	0	2	2	0	4	7	9	5	3	2
ENSG00000010318.22	3	0	0	3	0	0	1	1	4	2	3	3
ENSG00000010319.7	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000010322.16	9	7	1	16	6	0	25	23	23	24	19	18
ENSG00000010327.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010361.14	6	5	1.99998	6	3	2	92	78	67	45	40.00001	60
ENSG00000010379.16	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000010404.18	46	43	58	74	47	69	253	235	205	296	271	243
ENSG00000010438.17	0	1	0	2	0	0	0	0	0	0	0	0
ENSG00000010539.12	2	6	0	8	4	5	29	24	31.00001	28	35	26
ENSG00000010610.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010626.15	11	10	13	7	3	13	22	20.00001	17	14.00001	10	15
ENSG00000010671.18	0	0	0	0	0	0	0	0	0	0	1.00005	0
ENSG00000010704.20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010803.17	9	17	11	9	12	12	51	44	53	44.00001	43	42
ENSG00000010810.18	8	12	12.99999	15	7	9	49.00001	59.99999	49.00001	59	53	38
ENSG00000010818.11	4	8	0	9	7	2	12.99999	23	11	35	23	18
ENSG00000010932.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011007.13	14	14	5	23	21	12	49	48	53	72	63	87
ENSG00000011009.12	35	21	19	17	21	22	160	130	155	168	131	155
ENSG00000011021.23	0	4	13	5	6	3	13	12	12	16	6	7
ENSG00000011028.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011052.21	251	280	310	242	350	415.00001	109	101	100	111	128	106
ENSG00000011083.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011105.14	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000011114.15	8	2	3	8	4	3	29	27	21	31	32	29
ENSG00000011132.12	9	14	7	8	12	4	64	48	65	63	76	60
ENSG00000011143.19	1	7.00006	9	2	3.99995	6	19	15	11.99999	14.99999	16.00001	14
ENSG00000011198.10	4	10	11	8	7	4	28	22.99999	33	37	29	34
ENSG00000011201.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011243.19	1.00002	3	2.00004	1	1.00002	13	99.99998	106.99999	79	139.00001	142.99999	149
ENSG00000011258.16	6	7	6	3	1	3	36	22	40	23	13	20
ENSG00000011260.14	25	32	41	53	59	39	247	229	234	319	381	304
ENSG00000011275.19	8	7	4	6	13	7	28	37	28	34	31	33
ENSG00000011295.16	8	9	3	7	10	4	68	75.00001	64	50.00001	45	34
ENSG00000011304.22	128.99999	132.99999	131	220	197	149	878	926	888.00001	1335	1302.99999	1380
ENSG00000011332.22	6	0	0	2.00001	2.00001	0	10.99999	11.00001	18	10.99999	13	20
ENSG00000011347.10	0	0	0	0	0	0	0	0.99999	0	0	0	0
ENSG00000011376.12	9	11	14	12	10	12	30	47	52	51	49	44
ENSG00000011405.14	6	2	4	8	4	2	33	23	23	25	34	15
ENSG00000011422.12	0	0	1	3	3	6	3	2	3	3	3	1.99999
ENSG00000011426.11	11	14	12	13	18	11	37	41	39	37	47	29
ENSG00000011451.21	5.00002	13	3	15	16	22.00002	56	81	50.99999	110	86.99999	76
ENSG00000011454.18	5	8	8	6	10	4	27	26	33	32	25	29
ENSG00000011465.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011478.13	1	3	0	2	0	1	108	85	101	92	71.00001	88
ENSG00000011485.15	14	6	19	10	6	4.00001	190	215.99999	202	216	236	227.00001
ENSG00000011523.15	3	3	3.99999	5	4.99999	0	32.00001	20.99999	19	8	6	4
ENSG00000011566.15	0	3.99999	3.99999	3	2.00001	0	28.00001	14.99999	20	20	16.99999	11
ENSG00000011590.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011600.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011638.11	7	3	6	0	2	8	12	17	22	9	16	15
ENSG00000011677.13	0	0	0	1	0	3	9	6	9	9	5	7
ENSG00000012048.26	9.99996	15	8.99999	13	16.00001	9.00003	50.99999	33	50	51.00001	54.99999	30
ENSG00000012061.17	101.00001	97	105	85	124	113	113.99999	108	103	106	94	121
ENSG00000012124.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012171.20	0	0	0	0	0	0	0.99999	0	0.99999	0	0	0
ENSG00000012174.12	30	29	14	18	21	13	59	67	51	32	37	16
ENSG00000012211.13	4	7	2	10.99999	1	4	11	13	22	35	26	34
ENSG00000012223.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012232.10	6	6	5.99998	2	3	12	27	13	17	29	20.00002	17.99999
ENSG00000012504.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012660.14	17.00001	20	14	20.99999	24	7	45.99999	52	38	43	43	56
ENSG00000012779.12	7	7	8	7	3	1	45	46	39	34	27	38
ENSG00000012817.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012822.16	4	11.00001	20	0	4	1	37.99999	38	28	24	18	14.99999
ENSG00000012963.15	21	44	25	28	19	33	125	139	134	131	120	113
ENSG00000012983.12	7	6	12	8.00001	8	0	31	31	34	23	48	21
ENSG00000013016.16	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000013275.8	82	110	103	173	185	171	502	508	454	746	783	791.00001
ENSG00000013288.9	3	9	5	1	5	4	12	11	19	17	11	16
ENSG00000013293.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013297.12	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000013306.16	145	168	130	153	174.99999	157	794.00001	736.00001	760	751.99999	767.00001	772.99999
ENSG00000013364.19	5	1	3	6	11	16	91	71	89	221	206	234
ENSG00000013374.17	4	7	4	6	8.99999	7	44	33	39	23	23	22
ENSG00000013375.17	38	27.99998	59.99999	59	66.99999	56.99999	115.99998	104.00001	108.99998	132	142	62.99999
ENSG00000013392.8	7	4	2	0	2	7	7	13	10	10	8	9
ENSG00000013441.17	8.99999	26.99999	38	14.99999	35	13.99999	67	52	57	59	55	50.99999
ENSG00000013503.10	8	5	13	6	14	6	56	55	43	55	44	44
ENSG00000013523.12	2.00001	6.99999	8.00001	1.99999	6	5	20	27	19	16	20	28
ENSG00000013561.18	27	19	39	16	16	16	113.00001	121.00001	95	105	98	104
ENSG00000013563.14	5	8	7	4	2	4	47	63	54	21	23	24
ENSG00000013573.17	18	20	12	33	19	13	85.99999	63	77.99999	68	68.00001	60
ENSG00000013583.10	38	63	66	26	44	34	91	72	114	54	67	70
ENSG00000013588.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013619.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013725.14	7	0	0	0	0	0	1	0	0	0	0	0
ENSG00000013810.21	56	53.00001	54	69	62	44	212	263	213	232	229	249.00001
ENSG00000014123.10	64	65	68	81	39	54	73	68	55	62	70	37
ENSG00000014138.10	14	30	8	35	17	21	107.99999	101	100	127	95	110
ENSG00000014164.7	1	3	4	10	3	6	49	56	42	66	57	53
ENSG00000014216.16	24	12	15	24.99999	10	15.00001	152	141	144.99999	117	92	100
ENSG00000014257.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000014641.21	261	270.99999	269.99999	133.00001	301	226.99999	707	716	709.99999	657	671	593
ENSG00000014824.14	21	14	19	15	23	4	124	122	121	111	97	72
ENSG00000014914.21	0	0	0	0	0	0	0	0	1	1	0	0
ENSG00000014919.13	8	20	21	14	18	12	73	77	67	75	59	51
ENSG00000015133.20	19	20	14	24	20	17	543	538	553	408.00001	380	392
ENSG00000015153.15	11	6	11	11	12	12	63.00001	62.99999	58	79	73	55
ENSG00000015171.21	10	9.00001	12	17.00001	11	6	59	48	66	51.99999	51.99999	36
ENSG00000015285.12	22	30	22	28	25	24	132	157	140.99999	141	102	156
ENSG00000015413.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000015475.19	25.99999	42.99999	50	53.99999	56	49	94	82.99999	102	79	103	104
ENSG00000015479.20	62	46	57	94	73	50	573	521	456.00001	485.00001	497	291.99999
ENSG00000015520.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000015532.10	3	3	6	2	1	0	13	18	15	10	9	15
ENSG00000015568.13	2	0	0	0	1	0	0	0	0	1	1	0
ENSG00000015592.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000015676.18	29	23	10	25	23	22	153	142	147	143	117	148
ENSG00000016082.15	3	0	0	0	0	4	5	4	6	4	3	4
ENSG00000016391.11	0	5	4	0	3	1	8	5	3	5	4	3
ENSG00000016402.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000016490.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000016602.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000016864.19	6	10	10	13.99999	12.99999	13	66	62	72.99999	57	52	48.99999
ENSG00000017260.20	29.99999	19.00001	17	26.99999	24.00003	18.00001	165.99999	176.99999	167	148.99999	133	104.99999
ENSG00000017427.17	1	4	6	1	2	5	1	0	0	0	0	0
ENSG00000017483.16	39	31	54	64.99999	59	72	886.00001	940	839	1263.99999	1098	1239
ENSG00000017797.13	31	22	23	33	31	19	163	132	131	124	131	135
ENSG00000018189.13	42	61	55	28	40	34	302	278.99999	277.99999	210.00001	179	167
ENSG00000018236.15	0	1	0	0	0	0	0	0	0	0	0	1
ENSG00000018280.18	14	3	9	1	5	4	3	1	2	4	0	0
ENSG00000018408.15	4	1	1	6	2	2	1	0	0	0	2	1
ENSG00000018510.18	12	20	26	24.99996	37	12	138	139	123.99999	169	159.00001	121.99999
ENSG00000018607.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000018610.15	44	62	67	107	87	78	64	76	94	106	101	130
ENSG00000018625.15	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000018699.13	5	10	25	22	13	4	39	60	40	48	50	58
ENSG00000018869.18	9	9	8	6	7	12	5	18	13	10	13	11
ENSG00000019102.12	0	0	0	0	0	0	1	0	0	1	0	0
ENSG00000019144.20	0	0	0	0	0	0	1.00002	1	0	0	0	0
ENSG00000019169.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000019186.10	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000019485.14	1	3	0	0	0	0	3	1	6	1	2	3
ENSG00000019505.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000019549.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000019582.17	1	1	7	0	0	2	5	3	1	1	2	8
ENSG00000019991.18	0	0	0	0	0	2	0	0	0	0	2	1
ENSG00000019995.6	0	3	0	0	0	0	49	51.00001	34.00001	25	47	35.00001
ENSG00000020129.16	34	12	18	21	30	19	122	120	120	152	110	127
ENSG00000020181.18	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000020219.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000020256.20	0.99999	4	0.99999	4.99999	6	8.00001	26	29	30	23	21	30
ENSG00000020426.11	47	52	35	33	45.00001	46	91	81	89	77	112	90
ENSG00000020577.14	1	0	0	0	0	0	0	0	1	1	0	1
ENSG00000020633.19	2	0	0	0	3	0	4	2	8	4	0	7
ENSG00000020922.13	33	34	23	35	27	12	149	129	105	112	120.00001	54
ENSG00000021300.14	2	2	0	0	0	0	14	10	7	6	7	10
ENSG00000021355.13	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000021461.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000021488.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000021574.15	2	12	4	6	5	7	52	44	50	54	51	20
ENSG00000021645.20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000021762.20	0	1	0	3	0	2	1	0	0	0	1	1
ENSG00000021776.11	8	12	11	13	23	8	83	63	65	72	69	48
ENSG00000021826.18	0	0	0	0	0	0	0	1.00002	0	0	1	0
ENSG00000021852.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000022267.19	27	19	36.99998	20	35.00001	7.99998	196.00001	205.99999	193.00001	168	155	158
ENSG00000022277.13	77	69	50	65.99999	113	42	267	289	290	359	326	342
ENSG00000022355.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000022556.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000022567.10	0	0	2	4	7	0	3	7	10	17	7	10
ENSG00000022840.17	37	37	27	46	47.99999	34	187	201	169	239.00001	240	240
ENSG00000022976.16	3	1	0	0	1	0	9	4	7	3.99999	6	10
ENSG00000023041.12	44.00001	44.00001	41.99999	49	49.99999	30.00001	149	119.99999	109	146	127.99999	126
ENSG00000023171.20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000023191.17	106.99999	113.99999	96.00001	102	79	82.99999	685	644.00001	671	503.00001	471.99999	467.99999
ENSG00000023228.15	49	28	19	45	28	34	162	158	189	160	185	157
ENSG00000023287.13	14	21	19	13	19	8	78	67	67	72	69	37
ENSG00000023318.9	84.00001	93	62.99999	85	130	78.00001	444	425.99998	461.99999	526.00001	573	450
ENSG00000023330.15	2.00001	5.00001	4.00001	5.00001	11.00001	9.99999	26	28	29.99999	37	44.00001	53
ENSG00000023445.17	0	1	0	0	2	0	3	1	4	1	3	0
ENSG00000023516.9	1	2	1	3	4	0	16	17	6	17	10	3
ENSG00000023572.10	81	122	127	153	202	156	260	240	170	303	289	244
ENSG00000023608.5	4	0	5	2	8	1	20	29	26	33	27	19
ENSG00000023697.13	8	11	22	18	12	6	83	75	67	54	63	53
ENSG00000023734.11	65	77	44	105	105	96	513	490	446	688	658	579
ENSG00000023839.12	0	1	1	1	2	0	1	0	2	5	0	0
ENSG00000023892.12	22	42.99999	30	25	18	12	102	94	97	89	89	88
ENSG00000023902.14	0	0	1	0	0	1	0	1	1	2	0	3
ENSG00000023909.10	14	18	10	12	12	18	69	74	90	123	157	89
ENSG00000024048.11	15	16	21	9	10	2	50	49	33	53	37	28
ENSG00000024422.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000024526.17	3	8	8	6.99999	12	6	43	43	40	40	57	30
ENSG00000024862.18	31	32	32	17	29	23	49	36	34	31	38	28
ENSG00000025039.15	39	47	63	69	61	42	325	333	325	294	264	285
ENSG00000025156.13	3	6	3	0	2	0	25	25	16	21	19	14
ENSG00000025293.17	200	220	217	158.99999	216	144	95	88	83	55	81	70
ENSG00000025423.11	0	3	0	2	3	0	11	10	10	3	6	7
ENSG00000025434.19	1	4	0	1	2	0	8	9.00001	8	5	5	4
ENSG00000025708.14	1	0	0	1	5	4	55.99999	61.00002	55.00001	59	78	75
ENSG00000025770.19	66	75.99999	51	95	96	50	233	251	237	288.00001	294	281
ENSG00000025772.8	12	22	11	27	25	22	73	72	87	104	128	127
ENSG00000025796.14	26	21	31	36	44	36	207	172	173	225	222	125
ENSG00000025800.14	25	15	10	23	14	18	75	73	48	92	76	101
ENSG00000026025.16	159	156	131	80	106	84	816.99999	880	880	522	537	484
ENSG00000026036.23	0	0	2.00001	0.99999	0.99999	0	6	16	4	7.99999	5	4
ENSG00000026103.25	3	4.00003	3	8	13.99999	1	34	20	29	47.00001	35.00001	20
ENSG00000026297.17	42	33	32	24	24	27	191	194.99999	203	95.00001	129	121
ENSG00000026508.21	0	0	5	4	4	4	2	2	0	8	0	9
ENSG00000026559.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000026652.15	2	2	3	0	3	4	4	4	8	6	5	1
ENSG00000026751.17	242	218.99999	245	208	207.99999	156	952	964	879.00001	855.99999	820	762.00001
ENSG00000026950.17	14	7	11	12	13	9	65	60	51.99999	45	34	55
ENSG00000027001.10	2	2	4	2	11	6	15	18	18	15	18	17
ENSG00000027075.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000027644.5	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000027697.16	0	1.00002	1.00002	4.00001	2.99999	1.00002	26	20	37	32	38	23
ENSG00000027847.14	20	17	5	21	9	5	81	72	86.00001	86	85	82
ENSG00000027869.12	0.99999	0	0	0	0	0	2.00001	3	2.00001	0.99999	0	0
ENSG00000028116.18	0.99999	0.99999	0.99999	2.00001	4	0.99999	56	52	38	34	64.00001	22
ENSG00000028137.19	7	4	0	1	3	5	19	27	19	10	14	14
ENSG00000028203.19	32	19	20.00001	26.99999	29	15	79	69	90.00001	95.99999	97	50
ENSG00000028277.22	5	2	0	5.99999	5	1.99999	5	3	2	22	19.99999	29
ENSG00000028310.18	2	6	3	4	6	4	30	25.99999	19	23.99999	32	28
ENSG00000028528.15	6	4	9	8	7	3	156	156	134	143	136.99999	153
ENSG00000028839.10	8	7	7	8	21	9	28	36	37	25	51	33
ENSG00000029153.15	0	1	0	0	2	0	3	8	3	1	4	2
ENSG00000029363.17	12.99999	24.00001	26	26.99999	33.99999	26.99999	187.00001	152.99999	141	158.99999	199.00001	113
ENSG00000029364.12	47	25	31	43	64	18	203.99999	268	199	234.00001	190	231
ENSG00000029534.22	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000029559.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000029639.11	17	21	19	21	17	15	22	19	18	26	21	22
ENSG00000029725.17	2	1.99999	4	3	5	2.99999	30	28	39	38	45	34
